name;zipcode;total_employment;total_senior_employment
Saint-Nizier-le-Désert;01381;112,3990033;7,955005624
Sainte-Olive;01382;56,66204953;12
Saint-Paul-de-Varax;01383;421,9126061;23,69179156
Saint-Rambert-en-Bugey;01384;732,3426323;16,15609978
Saint-Rémy;01385;312,4549912;9,034108553
Saint-Sorlin-en-Bugey;01386;422,4365677;45,64185758
Saint-Sulpice;01387;12,7444828;0
Saint-Trivier-de-Courtes;01388;573,3077992;16,76582309
Saint-Trivier-sur-Moignans;01389;516,1116865;24,57581511
Saint-Vulbas;01390;5425,761743;438,1772896
Salavre;01391;105,8625781;0
Samognat;01392;45,67123292;4,159527326
Sandrans;01393;63,58363396;0
Sault-Brénaz;01396;235,2616114;8,164776366
Sauverny;01397;56,71071003;3,999999405
Savigneux;01398;277,3785613;12,14210128
Ségny;01399;469,4867812;35,84539274
Seillonnaz;01400;27,60283688;0
Sergy;01401;124,8565848;12,80580626
Sermoyer;01402;108,0688622;12,00434277
Serrières-de-Briord;01403;273,1338493;0
Serrières-sur-Ain;01404;3,904;0
Servas;01405;498,3934095;27,24691818
Servignat;01406;19,35635533;0
Seyssel;01407;154,7813308;4,071416845
Simandre-sur-Suran;01408;219,9697211;15,74736469
Songieu;01409;24,13704979;0
Sonthonnax-la-Montagne;01410;19,29316551;0
Souclin;01411;16;0
Sulignat;01412;137,3970129;3,965034965
Surjoux;01413;4,162162162;0
Sutrieu;01414;40,960282;4,137339056
Talissieu;01415;67,81944656;0
Tenay;01416;202,329999;0
Thézillieu;01417;29,31282483;0
Thil;01418;212,7210625;11,43331773
Thoiry;01419;1555,848107;74,1754356
Thoissey;01420;644,5284106;15,40764739
Torcieu;01421;203,7410643;4,156025658
Tossiat;01422;474,4557527;47,03531293
Toussieux;01423;74,80306553;3,929736512
Tramoyes;01424;199,6696461;14,10308715
La Tranclière;01425;63,44442425;8,101586297
Treffort-Cuisiat;01426;956,1161575;60,89704845
Trévoux;01427;4167,222042;364,9764488
Valeins;01428;8,181818182;0
Vandeins;01429;92,36152949;3,791356185
Varambon;01430;31,29815778;0
Vaux-en-Bugey;01431;278,6751659;11,70709973
Verjon;01432;23,62934363;0
Vernoux;01433;100,4930512;4,236033893
Versailleux;01434;31,18628554;0
Versonnex;01435;191,6012951;16,31402585
Vesancy;01436;48;12
Vescours;01437;29,14450138;0
Vésines;01439;29,75233851;0
Vieu-d'Izenave;01441;164,2853428;8,139051478
Vieu;01442;28;0
Villars-les-Dombes;01443;1745,833774;58,73643355
Villebois;01444;150,1813262;20,57853387
Villemotier;01445;32,21927665;0
Villeneuve;01446;177,9852054;1,110892325
Villereversure;01447;375,7280864;15,71104396
Villes;01448;52,58730262;0
Villette-sur-Ain;01449;90,17708836;0
Villieu-Loyes-Mollon;01450;594,8201291;39,80768794
Viriat;01451;4720,316169;172,3546025
Virieu-le-Grand;01452;283,9236846;12,51251198
Virieu-le-Petit;01453;251,6185602;0
Virignin;01454;181,7997959;8,298241521
Vongnes;01456;20,0146694;0
Vonnas;01457;1244,775681;53,65434566
Abbécourt;02001;44,59302883;0
Achery;02002;52,82160237;0
Acy;02003;121,408692;17,99605973
Agnicourt-et-Séchelles;02004;27,86430486;0
Aguilcourt;02005;37,98473282;0
Aisonville-et-Bernoville;02006;19,70863225;0
Aizelles;02007;24,19918642;3,154454202
Aizy-Jouy;02008;16;0
Alaincourt;02009;39,24868945;0
Allemant;02010;16,9341729;0
Ambleny;02011;224,4691956;6,629533216
Ambrief;02012;7,442090854;0
Amifontaine;02013;111,7327579;0
Amigny-Rouy;02014;56,49947095;0
Ancienville;02015;4;0
Andelain;02016;4,087431694;0
Anguilcourt-le-Sart;02017;28,07776793;0
Anizy-le-Château;02018;759,4860735;12,06844512
Annois;02019;24,02016111;0
Any-Martin-Rieux;02020;64,03777449;3,95959596
Archon;02021;15,92662852;0
Arcy-Sainte-Restitue;02022;72,58318385;0
Armentières-sur-Ourcq;02023;20,46583197;0
Arrancy;02024;0;0
Artemps;02025;27,72541502;0
Artonges;02026;32,23036649;0
Assis-sur-Serre;02027;24,03926531;0
Athies-sous-Laon;02028;678,0070634;26,69150197
Attilly;02029;23,20016957;0
Aubencheul-aux-Bois;02030;20,36677309;0
Aubenton;02031;126,2482826;4,186746988
Aubigny-aux-Kaisnes;02032;32,1025688;0
Aubigny-en-Laonnois;02033;8,185185185;0
Audignicourt;02034;19,84615385;0
Audigny;02035;37,91504182;3,942446043
Augy;02036;0;0
Aulnois-sous-Laon;02037;209,1528539;4,05748503
Les Autels;02038;8;0
Autremencourt;02039;25,74453734;2,916372523
Autreppes;02040;32,76554161;4,15819209
Autreville;02041;116,2657356;0
Azy-sur-Marne;02042;80,4755586;0
Bagneux;02043;11,70066771;0
Bancigny;02044;0;0
Barenton-Bugny;02046;166,4772984;21,67682536
Barenton-Cel;02047;20;0
Barenton-sur-Serre;02048;12,15319149;0
Barisis;02049;60,78834256;0
Barzy-en-Thiérache;02050;20,13071895;0
Barzy-sur-Marne;02051;67,66548191;0
Bassoles-Aulers;02052;11,41258741;0
Baulne-en-Brie;02053;33,36927959;4,198473282
Bazoches-sur-Vesles;02054;59,83158743;8
Beaumé;02055;32,07074052;0
Beaumont-en-Beine;02056;15,69699184;0
Beaurevoir;02057;299,6537499;0
Beaurieux;02058;216,3814396;0
Beautor;02059;970,6798233;18,03250057
Beauvois-en-Vermandois;02060;44,15100111;0
Becquigny;02061;24,16015939;0
Belleau;02062;31,73585097;4
Bellenglise;02063;14,13469304;0
Belleu;02064;667,4145344;18,306813
Bellicourt;02065;136,1159138;7,077150352
Benay;02066;26,0697683;0
Bergues-sur-Sambre;02067;15,94545455;0
Berlancourt;02068;3,953757225;0
Berlise;02069;8,198347107;0
Bernot;02070;54,45147924;0
Berny-Rivière;02071;94,71444762;0
Berrieux;02072;15,73969226;0
Berry-au-Bac;02073;152,6171806;0
Bertaucourt-Epourdon;02074;24,64739538;0
Berthenicourt;02075;16,47146561;0
Bertricourt;02076;11,17714286;0
Berzy-le-Sec;02077;26,56840708;7,920792079
Besmé;02078;2,983896624;0
Besmont;02079;20,27229141;0
Besny-et-Loizy;02080;23,63923633;0
Béthancourt-en-Vaux;02081;42,73756093;0
Beugneux;02082;27,79287448;0
Beuvardes;02083;52,05941295;0
Bézu-le-Guéry;02084;40,03432941;0
Bézu-Saint-Germain;02085;296,485744;7,849502024
Bichancourt;02086;60,17037039;11,85366996
Bieuxy;02087;0;0
Bièvres;02088;0;0
Billy-sur-Aisne;02089;301,225027;4,972481362
Billy-sur-Ourcq;02090;16,05330737;0
Blanzy-lès-Fismes;02091;12,00114011;0
Blérancourt;02093;285,5788171;32,45480577
Blesmes;02094;118,8042828;7,764705882
Bohain-en-Vermandois;02095;1652,08204;52,38882902
Bois-lès-Pargny;02096;16;0
Boncourt;02097;77,34875736;0
Bonneil;02098;55,00664589;0
Bonnesvalyn;02099;28,77240773;0
Bony;02100;22,90077928;0
Bosmont-sur-Serre;02101;12,00205491;0
Bouconville-Vauclair;02102;30,72665403;0
Boué;02103;1163,781711;61,65783859
Bouffignereux;02104;3,961904762;0
Bouresches;02105;20,04860987;0
Bourg-et-Comin;02106;237,9928824;0
Bourguignon-sous-Coucy;02107;7,695682663;0
Bourguignon-sous-Montbavin;02108;11,42857143;0
La Bouteille;02109;143,1072586;7,987790716
Braine;02110;801,3356387;15,82886119
Brancourt-en-Laonnois;02111;127,7389691;0
Brancourt-le-Grand;02112;79,79524489;0
Brasles;02114;642,6180503;32,73716755
Braye-en-Laonnois;02115;32,33316217;0
Braye-en-Thiérache;02116;8;0
Bray-Saint-Christophe;02117;8,021282321;0
Braye;02118;4;0
Brécy;02119;43,86092543;0
Brenelle;02120;27,71590268;0
Breny;02121;67,55962591;8,155642023
Brie;02122;19,93273142;0
Brissay-Choigny;02123;31,85071287;0
Brissy-Hamégicourt;02124;35,93558798;0
Brumetz;02125;27,97438807;0
Brunehamel;02126;87,82748946;0
Bruyères-sur-Fère;02127;82,13664688;8,329896907
Bruyères-et-Montbérault;02128;405,5149202;22,012011
Bruys;02129;11,75307918;0
Bucilly;02130;20,11397639;0
Bucy-le-Long;02131;630,366048;28,42879343
Bucy-lès-Cerny;02132;3,946154237;0
Bucy-lès-Pierrepont;02133;55,43396226;0
Buire;02134;185,3915673;0
Buironfosse;02135;385,6832939;0
Burelles;02136;15,86454849;0
Bussiares;02137;8,258622033;0
Buzancy;02138;26,75142253;0
Caillouël-Crépigny;02139;27,32494164;0
Camelin;02140;86,73067983;3,98206278
La Capelle;02141;1067,826493;23,87840728
